genotype,day,food,plate,dauer,ar,pd,non,line,allele
N2,4_29_17,OP50,1,9,,,64,,
N2,4_29_17,OP50,2,2,,,27,,
rict-1(ft7),4_29_17,OP50,1,48,,,3,,
rict-1(ft7),4_29_17,OP50,2,32,,,7,,
rict-1(ft7); ex[elt-2],4_29_17,OP50,1,27,,,25,1,
rict-1(ft7); ex[elt-2],4_29_17,OP50,2,11,,,37,1,
rict-1(ft7); ex[elt-2],4_29_17,OP50,1,7,,,4,2,
rict-1(ft7); ex[elt-2],4_29_17,OP50,2,17,,,18,2,
rict-1(ft7); ex[ifb-2],4_29_17,OP50,1,13,,,16,2,
rict-1(ft7); ex[ifb-2],4_29_17,OP50,2,11,,,11,2,
N2,5_10_17,OP50,1,21,,,32,,
N2,5_10_17,OP50,2,22,,,32,,
rict-1(ft7),5_10_17,OP50,1,40,,,3,,
rict-1(ft7),5_10_17,OP50,2,41,,,4,,
rict-1(ft7); ex[elt-2],5_10_17,OP50,1,9,,,14,1,
rict-1(ft7); ex[elt-2],5_10_17,OP50,2,10,,,20,1,
rict-1(ft7); ex[elt-2],5_10_17,OP50,1,10,,,26,2,
rict-1(ft7); ex[elt-2],5_10_17,OP50,2,10,,,21,2,
rict-1(ft7); ex[ifb-2],5_10_17,OP50,1,6,,,16,1,
rict-1(ft7); ex[ifb-2],5_10_17,OP50,2,18,,,16,1,
rict-1(ft7); ex[ifb-2],5_10_17,OP50,1,2,,,7,2,
rict-1(ft7); ex[ifb-2],5_10_17,OP50,2,0,,,12,2,
