genotype,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,line,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,9_21_16,25,OP50,0,ASI,1362,2,1.205,2061.661,2144,1777,2203,2485.155,2091,237091,,,,,,
N2,9_21_16,25,OP50,0,ASI,1363,2,1.509,2800.062,2552,2397,3103,4226.38,2826,403209,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1364,2,0.608,908.017,884,875,950,552.027,908,52665,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1365,2,0.692,1193.167,1174,1106,1255,825.436,1189,78749,,,,,,
N2,9_21_16,25,OP50,0,ASI,1366,1,1.971,2864.106,2883,2211,3231,5643.978,2905,538452,,,,,,
N2,9_21_16,25,OP50,0,ASI,1367,1,1.017,3395.32,3534,2855,3651,3452.158,3443,329346,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1368,1,0.723,1208.71,1201,1060,1269,874.198,1218,83401,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1369,1,0.587,1093.625,1085,1045,1137,641.941,1095,61243,,,,,,
N2,9_21_16,25,OP50,0,ASI,1370,3,2.138,4093.495,4095,3854,4095,8753.118,4095,835073,,,,,,
N2,9_21_16,25,OP50,0,ASI,1371,3,1.53,4095,4095,4095,4095,6266.789,4095,597870,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1372,3,0.702,1557.791,1500,1447,1615,1094.013,1566,104372,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1373,3,0.943,1863.289,1900,1654,2004,1757.766,1879,167696,,,,,,
N2,9_21_16,25,OP50,0,ASI,1374,4,1.929,3405.587,3168,2276,3810,6568.227,3500,626628,,,,,,
N2,9_21_16,25,OP50,0,ASI,1375,4,3.469,3963.024,4095,3049,4095,13749.694,4095,1311761,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1376,4,0.797,2022.882,2063,1842,2162,1611.471,2036,153739,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1377,4,0.839,2219.213,2212,2113,2324,1860.918,2222,177537,,,,,,
N2,9_21_16,25,OP50,0,ASI,1378,5,1.394,3126.346,3143,2858,3378,4358.399,3139,415804,,,,,,
N2,9_21_16,25,OP50,0,ASI,1379,5,0.88,2223.738,2231,1973,2379,1957.948,2234,186794,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1380,5,0.702,1758.687,1767,1685,1828,1235.098,1761,117832,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1381,5,0.66,1282.667,1265,1226,1339,847.018,1285,80808,,,,,,
N2,9_21_16,25,OP50,0,ASI,1382,6,0.734,858.943,837,818,904,630.232,860,60126,,,,,,
N2,9_21_16,25,OP50,0,ASI,1383,6,0.587,1129.607,1128,1068,1175,663.061,1132,63258,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1384,6,0.985,924.819,968,777,1031,911.219,932,86933,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1385,6,0.723,734.652,724,703,776,531.336,732,50691,,,,,,
N2,9_21_16,25,OP50,0,ASI,1386,7,1.09,4090.154,4095,3950,4095,4458.731,4095,425376,,,,,,
N2,9_21_16,25,OP50,0,ASI,1387,7,1.562,1555.45,1533,1301,1696,2429.297,1553,231762,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1388,7,0.828,1756.684,1642,1613,1861,1454.651,1765,138778,,,,,,
N2,9_21_16,25,OP50,0,ASJ,1389,7,,,,,,,,,,,,,,
N2,9_21_16,25,OP50,0,ASI,1390,8,1.625,4095,4095,4095,4095,6653.098,4095,634725,,,,,,
