date,ID,Label,Area,Mean,Mode,Min,Max,IntDen,Median,RawIntDen,type,line,notes
12_22_17,1,SUM_N2_daf28Cy5_25_tube1-03.czi,9.014,1043.506,1037.926,1007,1085,9406.578,1042,897415,cell,,
12_22_17,2,SUM_N2_daf28Cy5_25_tube1-03.czi,0.461,1008.864,1007.016,986,1026,465.29,1010,44390,background,,
12_22_17,3,SUM_N2_daf28Cy5_25_tube1-04.czi,7.715,1231.819,1221.32,1116,1360,9503.053,1226,906619,cell,,
12_22_17,4,SUM_N2_daf28Cy5_25_tube1-04.czi,0.461,1030.705,1016.02,1010,1056,475.363,1031,45351,background,,
12_22_17,5,SUM_N2_daf28Cy5_25_tube1-05.czi,8.784,1208.63,1214.064,1079,1338,10616.363,1210,1012832,cell,,
12_22_17,6,SUM_N2_daf28Cy5_25_tube1-05.czi,1.53,1028.575,1033.91,998,1056,1574.082,1028,150172,background,,
12_22_17,7,SUM_N2_daf28Cy5_25_tube1-06.czi,7.054,1070.678,1067.988,1017,1131,7552.872,1070,720566,cell,,
12_22_17,8,SUM_N2_daf28Cy5_25_tube1-06.czi,2.096,1019.08,1019.912,996,1049,2136.371,1019,203816,background,,
12_22_17,9,SUM_N2_daf28Cy5_25_tube1-08.czi,7.117,1044.797,1048.041,1008,1091,7436.009,1044,709417,cell,,
12_22_17,10,SUM_N2_daf28Cy5_25_tube1-08.czi,3.228,1011.883,1007.01,984,1035,3266.776,1012.5,311660,background,,
12_22_17,11,SUM_N2_daf28Cy5_25_tube1-11.czi,9.077,1263.016,1234.67,1163,1368,11464.764,1259,1093772,cell,,
12_22_17,12,SUM_N2_daf28Cy5_25_tube1-11.czi,0.839,1035.15,1034.061,1009,1056,868.024,1035,82812,background,,
12_22_17,13,SUM_N2_daf28Cy5_25_tube1-12.czi,6.017,1375.984,1371.127,1317,1424,8278.73,1376,789815,cell,,
12_22_17,14,SUM_N2_daf28Cy5_25_tube1-12.czi,0.566,1267.87,1265.951,1246,1291,717.641,1267,68465,background,,
12_22_17,15,SUM_N2_daf28Cy5_25_tube1-16.czi,6.908,1235.161,1209.48,1089,1387,8531.93,1228,813971,cell,,
12_22_17,16,SUM_N2_daf28Cy5_25_tube1-16.czi,1.163,1022.505,1017.078,1002,1042,1189.67,1022,113498,background,,
12_22_17,17,SUM_N2_daf28Cy5_25_tube1-17.czi,5.849,1035.247,1032.953,1003,1075,6055.035,1035,577668,cell,,
12_22_17,18,SUM_N2_daf28Cy5_25_tube1-17.czi,0.765,1007.384,1003.047,985,1025,770.825,1008,73539,background,,
12_22_17,19,SUM_N2_daf28Cy5_25_tube1-19.czi,7.578,1302.679,1352.135,1172,1385,9872.203,1306,941837,cell,,
12_22_17,20,SUM_N2_daf28Cy5_25_tube1-19.czi,1.006,1032.333,1030.021,1009,1056,1038.794,1032.5,99104,background,,
12_22_17,21,SUM_N2_daf28Cy5_25_tube1-20.czi,7.002,1056.286,1057.1,1005,1102,7395.99,1057,705599,cell,,
12_22_17,22,SUM_N2_daf28Cy5_25_tube1-20.czi,0.335,999.125,991.078,981,1021,335.126,998.5,31972,background,,
12_22_17,23,SUM_N2_daf28Cy5_25_tube1.czi,10.367,1239.027,1233.512,1102,1364,12844.45,1236,1225398,cell,,
12_22_17,24,SUM_N2_daf28Cy5_25_tube1.czi,0.252,1025.167,1016.078,1011,1051,257.896,1026,24604,background,,
12_22_17,25,SUM_N2_daf28Cy5_25_tube2-02.czi,9.884,1163.936,1174.965,1057,1259,11504.805,1167,1097592,cell,,
12_22_17,26,SUM_N2_daf28Cy5_25_tube2-02.czi,1.31,1010.104,1003.027,990,1036,1323.471,1011,126263,background,,
12_22_17,27,SUM_N2_daf28Cy5_25_tube2-03.czi,7.893,1366.902,1352.496,1209,1519,10788.737,1361,1029277,cell,,
12_22_17,40,SUM_N2_daf28Cy5_25_tube2-03.czi,0.692,1039.667,1039.896,1011,1066,719.244,1040,68618,background,,
12_22_17,28,SUM_N2_daf28Cy5_25_tube2-04.czi,12.264,1365.123,1365.416,1229,1534,16741.563,1361,1597194,cell,,
12_22_17,29,SUM_N2_daf28Cy5_25_tube2-04.czi,1.216,1112.069,1114.012,1081,1135,1352.16,1112,129000,background,,
12_22_17,30,SUM_N2_daf28Cy5_25_tube2-05.czi,9.392,1251.108,1248.482,1130,1407,11750.091,1252,1120993,cell,,
12_22_17,31,SUM_N2_daf28Cy5_25_tube2-05.czi,1.352,1015.434,1011.053,983,1036,1373.029,1015,130991,background,,
12_22_17,32,SUM_N2_daf28Cy5_25_tube2-06.czi,7.557,1218.028,1232.465,1084,1330,9205.148,1227,878198,cell,,
12_22_17,33,SUM_N2_daf28Cy5_25_tube2-06.czi,1.258,1009.433,1001.975,988,1033,1269.689,1009,121132,background,,
12_22_17,34,SUM_N2_daf28Cy5_25_tube2-07.czi,10.576,1229.234,1224.512,1098,1376,13000.619,1225,1240297,cell,,
12_22_17,35,SUM_N2_daf28Cy5_25_tube2-07.czi,1.499,1026.741,1024.025,1009,1058,1538.989,1026,146824,background,,
