date,genotype,food,n_entries,line,plate
12_13_17,N2,OP50,187,,1
12_13_17,N2,OP50,258,,2
12_13_17,N2,OP50,189,,3
12_13_17,N2,OP50,195,,4
12_13_17,N2,OP50,241,,5
12_13_17,pdf-2,OP50,492,,6
12_13_17,pdf-2,OP50,536,,7
12_13_17,pdf-2,OP50,252,,8
12_13_17,pdf-2,OP50,282,,9
12_13_17,pdf-2,OP50,486,,10
12_13_17,pdf-2;ft7,OP50,564,,11
12_13_17,pdf-2;ft7,OP50,558,,12
12_13_17,pdf-2;ft7,OP50,428,,13
12_13_17,pdf-2;ft7,OP50,283,,14
12_13_17,pdf-2;ft7,OP50,397,,15
12_13_17,pdf2;ex(pdf2p_pdf2),OP50,566,,16
12_13_17,pdf2;ex(pdf2p_pdf2),OP50,286,,17
12_13_17,pdf2;ex(pdf2p_pdf2),OP50,182,,18
12_13_17,pdf2;ex(pdf2p_pdf2),OP50,170,,19
12_13_17,pdf2;ex(pdf2p_pdf2),OP50,611,,20
12_13_17,ft7;ex(pdf2p_pdf),OP50,159,,21
12_13_17,ft7;ex(pdf2p_pdf),OP50,132,,22
12_13_17,ft7;ex(pdf2p_pdf),OP50,282,,23
12_13_17,ft7;ex(pdf2p_pdf),OP50,252,,24
12_13_17,ft7;ex(pdf2p_pdf),OP50,219,,25
12_13_17,WT;ex(pdf2p_pdf2),OP50,308,,26
12_13_17,WT;ex(pdf2p_pdf2),OP50,297,,27
12_13_17,WT;ex(pdf2p_pdf2),OP50,241,,28
12_13_17,WT;ex(pdf2p_pdf2),OP50,192,,29
12_13_17,WT;ex(pdf2p_pdf2),OP50,172,,30
12_13_17,ft7,OP50,509,,31
12_13_17,ft7,OP50,562,,32
12_13_17,ft7,OP50,464,,33
12_13_17,ft7,OP50,324,,34
12_13_17,ft7,OP50,488,,35
12_14_17,N2,OP50,234,,36
12_14_17,N2,OP50,288,,37
12_14_17,N2,OP50,66,,38
12_14_17,N2,OP50,268,,39
12_14_17,N2,OP50,62,,40
12_14_17,pdf-2,OP50,344,,41
12_14_17,pdf-2,OP50,463,,42
12_14_17,pdf-2,OP50,878,,43
12_14_17,pdf-2;ft7,OP50,480,,44
12_14_17,pdf-2;ft7,OP50,578,,45
12_14_17,pdf-2;ft7,OP50,526,,46
12_14_17,pdf-2;ft7,OP50,437,,47
12_14_17,pdf-2;ft7,OP50,328,,48
12_14_17,pdf2;ex(pdf2p_pdf2),OP50,321,,49
12_14_17,pdf2;ex(pdf2p_pdf2),OP50,120,,50
12_14_17,pdf2;ex(pdf2p_pdf2),OP50,95,,51
12_14_17,pdf2;ex(pdf2p_pdf2),OP50,99,,52
12_14_17,pdf2;ex(pdf2p_pdf2),OP50,86,,53
12_14_17,ft7;ex(pdf2p_pdf),OP50,107,,54
12_14_17,ft7;ex(pdf2p_pdf),OP50,245,,55
12_14_17,ft7;ex(pdf2p_pdf),OP50,216,,56
12_14_17,ft7;ex(pdf2p_pdf),OP50,198,,57
12_14_17,ft7;ex(pdf2p_pdf),OP50,307,,58
12_14_17,WT;ex(pdf2p_pdf2),OP50,74,,59
12_14_17,WT;ex(pdf2p_pdf2),OP50,76,,60
12_14_17,WT;ex(pdf2p_pdf2),OP50,117,,61
12_14_17,WT;ex(pdf2p_pdf2),OP50,212,,62
12_14_17,WT;ex(pdf2p_pdf2),OP50,262,,63
12_14_17,ft7,OP50,541,,64
12_14_17,ft7,OP50,502,,65
12_14_17,ft7,OP50,578,,66
12_14_17,ft7,OP50,623,,67
12_14_17,ft7,OP50,478,,68
12_15_17,N2,OP50,149,,69
12_15_17,N2,OP50,221,,70
12_15_17,N2,OP50,108,,71
12_15_17,N2,OP50,188,,72
12_15_17,N2,OP50,149,,73
12_15_17,pdf-2,OP50,569,,74
12_15_17,pdf-2,OP50,146,,75
12_15_17,pdf-2,OP50,624,,76
12_15_17,pdf-2,OP50,174,,77
12_15_17,pdf-2;ft7,OP50,120,,78
12_15_17,pdf-2;ft7,OP50,162,,79
12_15_17,pdf-2;ft7,OP50,333,,80
12_15_17,pdf-2;ft7,OP50,174,,81
12_15_17,pdf-2;ft7,OP50,474,,82
12_15_17,pdf2;ex(pdf2p_pdf2),OP50,368,,83
12_15_17,pdf2;ex(pdf2p_pdf2),OP50,357,,84
12_15_17,pdf2;ex(pdf2p_pdf2),OP50,178,,85
12_15_17,pdf2;ex(pdf2p_pdf2),OP50,401,,86
12_15_17,ft7;ex(pdf2p_pdf),OP50,182,,87
12_15_17,ft7;ex(pdf2p_pdf),OP50,257,,88
12_15_17,ft7;ex(pdf2p_pdf),OP50,292,,89
12_15_17,ft7;ex(pdf2p_pdf),OP50,478,,90
12_15_17,ft7;ex(pdf2p_pdf),OP50,321,,91
12_15_17,WT;ex(pdf2p_pdf2),OP50,80,,92
12_15_17,WT;ex(pdf2p_pdf2),OP50,166,,93
12_15_17,WT;ex(pdf2p_pdf2),OP50,154,,94
12_15_17,WT;ex(pdf2p_pdf2),OP50,141,,95
12_15_17,WT;ex(pdf2p_pdf2),OP50,201,,96
12_15_17,ft7,OP50,299,,97
12_15_17,ft7,OP50,349,,98
12_15_17,ft7,OP50,424,,99
12_15_17,ft7,OP50,555,,100
12_15_17,ft7,OP50,520,,101
