genotype,sample,replicate,lane,area,band,sample_group,PCR_expt
N2,6,1,1,1262.69,elt-2,2,1
N2,6,1,1,1222.468,rict-1,2,1
N2,7,1,2,1092.033,elt-2,2,1
N2,7,1,2,1233.326,rict-1,2,1
N2,8,1,3,401.77,elt-2,2,1
N2,8,1,3,231.263,rict-1,2,1
NIL,9,1,4,1007.548,elt-2,2,1
NIL,9,1,4,2022.284,rict-1,2,1
NIL,10,1,5,784.134,elt-2,2,1
NIL,10,1,5,1562.012,rict-1,2,1
NIL,11,1,6,546.77,elt-2,2,1
NIL,11,1,6,765.962,rict-1,2,1
NIL,12,1,7,561.113,elt-2,2,1
NIL,12,1,7,1124.426,rict-1,2,1
N2,6,2,8,717.77,elt-2,2,1
N2,6,2,8,880.477,rict-1,2,1
N2,7,2,9,709.477,elt-2,2,1
N2,7,2,9,536.941,rict-1,2,1
N2,8,2,10,340.648,elt-2,2,1
N2,8,2,10,526.598,rict-1,2,1
NIL,9,2,11,1045.477,elt-2,2,1
NIL,9,2,11,1625.527,rict-1,2,1
NIL,10,2,12,591.527,elt-2,2,1
NIL,10,2,12,847.87,rict-1,2,1
NIL,11,2,13,516.891,elt-2,2,1
NIL,11,2,13,426.385,rict-1,2,1
NIL,12,2,14,557.012,elt-2,2,1
NIL,12,2,14,517.799,rict-1,2,1
N2,1,3,15,7974.731,elt-2,1,2
N2,1,3,15,7375.368,rict-1,1,2
N2,1,4,16,7284.368,elt-2,1,2
N2,1,4,16,6790.196,rict-1,1,2
N2,2,3,17,5331.004,elt-2,1,2
N2,2,3,17,4276.054,rict-1,1,2
N2,2,4,18,4548.761,elt-2,1,2
N2,2,4,18,3876.983,rict-1,1,2
NIL,3,3,19,3240.276,elt-2,1,2
NIL,3,3,19,2097.891,rict-1,1,2
NIL,3,4,20,2795.79,elt-2,1,2
NIL,3,4,20,2126.891,rict-1,1,2
NIL,4,3,21,6631.832,elt-2,1,2
NIL,4,3,21,6406.125,rict-1,1,2
NIL,4,4,22,6658.196,elt-2,1,2
NIL,4,4,22,6378.439,rict-1,1,2
N2,5,3,23,8238.024,elt-2,1,2
N2,5,3,23,6444.782,rict-1,1,2
N2,5,4,24,7964.489,elt-2,1,2
N2,5,4,24,7141.61,rict-1,1,2
N2,6,3,25,6564.924,elt-2,2,2
N2,6,3,25,13602.945,rict-1,2,2
N2,6,4,26,5313.589,elt-2,2,2
N2,6,4,26,10166.095,rict-1,2,2
N2,7,3,27,5989.217,elt-2,2,2
N2,7,3,27,15071.116,rict-1,2,2
N2,7,4,28,5495.56,elt-2,2,2
N2,7,4,28,13578.823,rict-1,2,2
N2,8,3,29,6722.51,elt-2,2,2
N2,8,3,29,14544.53,rict-1,2,2
N2,8,4,30,3259.276,elt-2,2,2
N2,8,4,30,10704.217,rict-1,2,2
NIL,9,3,31,5094.045,elt-2,2,2
NIL,9,3,31,17284.551,rict-1,2,2
NIL,9,4,32,5491.338,elt-2,2,2
NIL,9,4,32,15405.066,rict-1,2,2
NIL,10,3,33,5412.459,elt-2,2,2
NIL,10,3,33,13757.602,rict-1,2,2
NIL,10,4,34,6153.167,elt-2,2,2
NIL,10,4,34,14555.844,rict-1,2,2
NIL,11,3,35,6967.56,elt-2,2,2
NIL,11,3,35,13034.581,rict-1,2,2
NIL,11,4,36,6747.56,elt-2,2,2
NIL,11,4,36,12753.137,rict-1,2,2
NIL,12,3,37,6401.681,elt-2,2,2
NIL,12,3,37,13022.995,rict-1,2,2
NIL,12,4,38,5353.187,elt-2,2,2
NIL,12,4,38,16112.037,rict-1,2,2
NIL,13,3,39,3165.933,elt-2,2,2
NIL,13,3,39,6663.731,rict-1,2,2
NIL,13,4,40,6514.489,elt-2,2,2
NIL,13,4,40,7623.61,rict-1,2,2
