Date,Genotype,Cue,Control,Cue side,Control Side,Free moving,Index,Comment
12_22_2017,N2,1:350 Dia/dH2O,dH2O,10,0,0,1,"everything prepare same as fruitose assay,Procedure: AZ load first, pick animal to clean plate, load water and cue, pick animal to middle and 15 min"
12_22_2017,pdf2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_22_2017,ft7,1:350 Dia/dH2O,dH2O,7,2,1,0.5,
12_27_2017,N2,1:350 Dia/dH2O,dH2O,7,2,1,0.5,
12_27_2017,pdf2,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_27_2017,ft7,1:350 Dia/dH2O,dH2O,7,1,2,0.6,
12_27_2017,N2,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_27_2017,pdf2,1:350 Dia/dH2O,dH2O,8,1,1,0.7,
12_27_2017,ft7,1:350 Dia/dH2O,dH2O,9,1,0,0.8,
12_27_2017,N2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_27_2017,pdf2,1:350 Dia/dH2O,dH2O,7,1,2,0.6,
12_27_2017,ft7,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_27_2017,N2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_27_2017,pdf2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_27_2017,ft7,1:350 Dia/dH2O,dH2O,9,1,0,0.8,
12_27_2017,N2,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_27_2017,pdf2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_27_2017,ft7,1:350 Dia/dH2O,dH2O,8,0,2,0.8,
12_28_2017,N2,1:350 Dia/dH2O,dH2O,8,1,1,0.7,
12_28_2017,pdf2,1:350 Dia/dH2O,dH2O,8,0,2,0.8,
12_28_2017,ft7,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_28_2017,N2,1:350 Dia/dH2O,dH2O,9,1,0,0.8,
12_28_2017,pdf2,1:350 Dia/dH2O,dH2O,7,2,1,0.5,
12_28_2017,ft7,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_28_2017,N2,1:350 Dia/dH2O,dH2O,7,2,1,0.5,
12_28_2017,pdf2,1:350 Dia/dH2O,dH2O,8,0,2,0.8,
12_28_2017,ft7,1:350 Dia/dH2O,dH2O,7,0,3,0.7,
12_28_2017,N2,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_28_2017,pdf2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_28_2017,ft7,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_28_2017,N2,1:350 Dia/dH2O,dH2O,10,0,0,1,
12_28_2017,pdf2,1:350 Dia/dH2O,dH2O,9,0,1,0.9,
12_28_2017,ft7,1:350 Dia/dH2O,dH2O,9,1,0,0.8,
