Date,Genotype,Concentration,Cue,Exit,User
12_19_2017,N2,3M fructose,1:350_dia,1,PC
12_19_2017,N2,3M fructose,None,0,PC
12_19_2017,pdf2,3M fructose,1:350_dia,5,PC
12_19_2017,pdf2,3M fructose,None,0,PC
12_19_2017,rict-1(ft7),3M fructose,1:350_dia,0,PC
12_19_2017,rict-1(ft7),3M fructose,None,0,PC
12_19_2017,N2,3M fructose,1:350_dia,3,PC
12_19_2017,N2,3M fructose,None,0,PC
12_19_2017,pdf2,3M fructose,1:350_dia,2,PC
12_19_2017,pdf2,3M fructose,None,0,PC
12_19_2017,rict-1(ft7),3M fructose,1:350_dia,0,PC
12_19_2017,rict-1(ft7),3M fructose,None,0,PC
12_20_2017,N2,3M fructose,1:350_dia,1,PC
12_20_2017,N2,3M fructose,None,0,PC
12_20_2017,pdf2,3M fructose,1:350_dia,4,PC
12_20_2017,pdf2,3M fructose,None,0,PC
12_20_2017,rict-1(ft7),3M fructose,1:350_dia,0,PC
12_20_2017,rict-1(ft7),3M fructose,None,0,PC
12_20_2017,N2,3M fructose,1:350_dia,1,PC
12_20_2017,N2,3M fructose,None,0,PC
12_20_2017,pdf2,3M fructose,1:350_dia,7,PC
12_20_2017,pdf2,3M fructose,None,0,PC
12_20_2017,rict-1(ft7),3M fructose,1:350_dia,1,PC
12_20_2017,rict-1(ft7),3M fructose,None,0,PC
12_19_2017,pdf2,3M fructose,1:350_dia,3,MO
12_19_2017,pdf2,3M fructose,None,0,MO
12_19_2017,rict-1(ft7),3M fructose,1:350_dia,0,MO
12_19_2017,rict-1(ft7),3M fructose,None,0,MO
12_19_2017,N2,3M fructose,None,0,MO
12_22_2017,N2,3M fructose,1:350_dia,0,PC
12_22_2017,N2,3M fructose,None,0,PC
12_22_2017,pdf2,3M fructose,1:350_dia,7,PC
12_22_2017,pdf2,3M fructose,None,0,PC
12_22_2017,rict-1(ft7),3M fructose,1:350_dia,1,PC
12_22_2017,rict-1(ft7),3M fructose,None,0,PC
12_22_2017,N2,3M fructose,1:350_dia,0,PC
12_22_2017,N2,3M fructose,None,1,PC
12_22_2017,pdf2,3M fructose,1:350_dia,8,PC
12_22_2017,pdf2,3M fructose,None,1,PC
12_22_2017,rict-1(ft7),3M fructose,1:350_dia,2,PC
12_22_2017,rict-1(ft7),3M fructose,None,1,PC
12_22_2017,pdf2;rict1,3M fructose,1:350_dia,5,PC
12_22_2017,pdf2;rict1,3M fructose,None,1,PC
12_22_2017,pdf2;rict1,3M fructose,1:350_dia,4,PC
12_22_2017,pdf2;rict1,3M fructose,None,1,PC
